id	phase	status	size	reader_facing	triaged	title	source
E-014	1	OPEN	M	yes	yes	12t-03 ('recomputed under variation') further sites §6.2.1, §22.1.1.1, L9150; Registers 388/389	DEFERRED.md L33 (chat 77)
E-015	2	OPEN	S	yes	yes	Successor entries for Registers 392/393 (12u-01..03) and 625's broken chain to 623 (12v-02)	DEFERRED.md L34–35 (chat 77)
E-016	-	DONE	M	yes	yes	12w cluster (Λ₁₂/Λ₁₃ fractions, 627's split) corrected at registers 1821–1825	DEFERRED.md L36 (chat 77)
E-017	0	OPEN	M	yes	yes	12x-01: 4,325-cell population and E = 972,862 / 28,503 printed in no member, awaiting M	DEFERRED.md L37 (chat 77)
E-018	3	OPEN	M	yes	yes	12z-02 exact/envelope vocabulary at five site groups (13a-01's 2,475 residue already pointered at 1819)	DEFERRED.md L43–44 (chat 78)
E-019	4	OPEN	S	yes	yes	A.15's 12,654 vs 12,489 near-collision; MC L1254/L1264; main L3439 slip (13a-02)	DEFERRED.md L46–47 (chat 78)
E-020	4	OPEN	S	yes	yes	13b-01: 'the tight two-parent K' names two rules; one-sided form unnamed at five sites	DEFERRED.md L53 (chat 79)
E-021	3	OPEN	S	yes	yes	Q item K open at §12.11.7 but 'closed' at §12.11.0.6	DEFERRED.md L54 (chat 79)
E-022	3	OPEN	S	yes	yes	13c-03/04/05: 'Figures 7.2–7.5' nonexistent; '(fig-sections)' file references; L3500 mis-pointed	DEFERRED.md L56 (chat 79)
E-023	3	OPEN	S	yes	yes	13d-01: Chapter 13 attributes §12.11.8's results to §12.11.4; Register 455 same; scheme vs route	DEFERRED.md L58 (chat 79)
E-024	-	DONE	M	yes	yes	Register size printed with eight nouns over fifteen sites; convention stated at register 1815	DEFERRED.md L59 (chat 79); L1504–1508 (chat 106 15f-02)
E-025	3	OPEN	S	yes	yes	§31.3.4: subsection numbered '24.3.4.1'; session remark 'a gzipped file this session could not read'	DEFERRED.md L60 (chat 79)
E-026	0	OPEN	M	yes	yes	§12.11.8's 83 lines sit inside Chapter 13; thirteen external pointers; M chooses the move	DEFERRED.md L61, L66 (chats 79–80)
E-027	3	OPEN	S	yes	yes	'Fifty sections across fourteen chapters' has no mechanical predicate (20x-12)	DEFERRED.md L61 (chat 79); L317 (chat 89 20x-12)
E-028	4	OPEN	S	yes	yes	13e-01: E = 3,900 reproduces under none of ten readings	DEFERRED.md L67 (chat 80)
E-029	3	OPEN	S	yes	yes	13e-02/03: composable set (1,169) misnamed at L3591/L3276 and Register 444; L3582's ordinal	DEFERRED.md L68–69 (chat 80)
E-030	4	OPEN	S	yes	yes	13e-04: four-scheme J-multiset claim rests on fifteen unprinted configurations	DEFERRED.md L70 (chat 80)
E-031	3	OPEN	S	yes	yes	13f-01: 'the most active constraint is the coupling' refuted (32.6/34.1/3.8 vs printed 35.6/33.0/4.9)	DEFERRED.md L71 (chat 80)
E-032	3	OPEN	S	yes	yes	13f-02..05: Kreuzer–Skarke status, L3647, corrupted §13.3 table row, 'Chapter 17's measured levels'	DEFERRED.md L72–75 (chat 80)
E-033	1	OPEN	S	yes	yes	13g-01: §14.3's '80/80 agreement' does not reproduce	DEFERRED.md L76 (chat 80)
E-034	4	OPEN	M	yes	yes	References/attribution pass (R-ATTR): missing entries, unsourced figures, eponym collisions	DEFERRED.md L77, L105, L125, L139, L147, L173, L214, L259, L1204 (chats 80–88, 102)
E-035	3	OPEN	S	yes	yes	13h-01/03/04: §14.5's '§8.4 already counts those', 'about 1.25 per cell', '139 to 1, exactly', withdrawn '89×'	DEFERRED.md L82–85 (chat 81)
E-036	4	OPEN	L	yes	yes	§14.5.2–§14.5.7: six empty sections cited 40 times; authoring owed	DEFERRED.md L87, L92, L761–775 (chats 81, 95B)
E-037	4	OPEN	M	yes	yes	After §14.5 is authored: twelve MC sites, IoI L281, References L11765–11769	DEFERRED.md L88–90 (chat 81)
E-038	3	OPEN	S	yes	yes	§14.5.9's 'ten to thirteen for twelve cycles' not re-measurable	DEFERRED.md L98 (chat 82)
E-039	3	OPEN	M	yes	yes	13j batch: §14.5.12's false heading, §14.6.3–6's five disagreeing counts, rest of 13j	DEFERRED.md L97 (chat 82)
E-040	3	OPEN	S	yes	yes	13j-08: §10.1 has no table but four sections cite one	DEFERRED.md L102 (chat 82)
E-041	3	OPEN	S	yes	yes	13j-09: §14.6.6 cites T §8.2's table for figures printed nowhere; T qualifier dropped thrice	DEFERRED.md L104 (chat 82)
E-042	1	OPEN	S	yes	yes	Register 497 affirmed at L3915 and withdrawn at L3946; 498–500/502 unopened; 18,288 record-carried	DEFERRED.md L106 (chat 82)
E-043	3	OPEN	S	yes	yes	13l-01: d = 2 criterion at §15.3 and A.8 needs total-preorder, not total order	DEFERRED.md L112 (chat 83)
E-044	3	OPEN	S	yes	yes	Appendix A index: row A.7 misdirected to §16.3; A.8 unfindable from the index	DEFERRED.md L113, L136 (chats 83–84)
E-045	3	OPEN	S	yes	yes	§15.3→§18.4 and §18.3→Chapter 19 pointers lead to absent content (13l-05, 19v-03)	DEFERRED.md L114, L164 (chats 83, 87); L263 (chat 88 19v-03)
E-046	8	OPEN	S	no	yes	FIGURE_ASSETS.md / FIGURE_MAP.md line-number column wrong at 32 of 32	DEFERRED.md L115, L137, L145 (chats 83–85)
E-047	3	OPEN	M	yes	yes	Bare counts with no population in §15–§17: '0 of 12', '397 %', '288 tests' and ten more	DEFERRED.md L117, L142, L150, L154 (chats 83–86)
E-048	3	OPEN	S	yes	yes	'§16.4 form' at eight sites while the form is at §7.2 L1765; '§N form' sweep owed	DEFERRED.md L123, L1697 (chats 84, 110)
E-049	3	OPEN	S	yes	yes	13n-01: ⅅ = 0 asserted where the argument gives ⅅ ≥ 0 (L4442, L11622)	DEFERRED.md L124 (chat 84)
E-050	3	OPEN	S	yes	yes	Four '###' headings truncated with remainder as body (L4407, L7721, L6582, L8659)	DEFERRED.md L127, L961 (chats 84, 98)
E-051	3	OPEN	S	yes	yes	13p-05: §14.6.1 says §16.6 grades 'multiverse dimension' with ⅅ_gro; §16.6 has one instance	DEFERRED.md L135 (chat 85)
E-052	3	OPEN	S	yes	yes	13p-01: §16.8.4's floor 59 vs population minimum 15; medians 340/352 vs measured 309	DEFERRED.md L136 (chat 85)
E-053	3	OPEN	M	yes	yes	'fifty-one terms' stale (57); Index L11419 carries a build remark and 'index_gen.py'	DEFERRED.md L136–137, L141 (chat 85)
E-054	3	OPEN	M	yes	yes	Periodic table printed as both 118 and 90 cells across Chapters 1, 6, 12, 16, 21; §6.2→§6.1.1	DEFERRED.md L139, L323–331 (chats 85, 90); L474–476 (chat 92 C-4)
E-055	3	OPEN	S	yes	yes	§16.6.2 calls a derived coordinate the first below the 𝒟 ≥ 1 floor; earlier instances exist (13p-08)	DEFERRED.md L140 (chat 85)
E-056	6	OPEN	M	no	yes	Periodic-table, Janet and audit catalogues still owed to r2lib; Chapters 16–19 figures checked for arithmetic only	DEFERRED.md L146, L204–207 (chats 85, 87)
E-057	4	OPEN	M	yes	yes	§17.4's 979,300 / 89,864 / 45,690 pair counts contradict the 1,040-cell bijection in main and MC (13r-01/02)	DEFERRED.md L150–151 (chat 86)
E-058	3	OPEN	S	yes	yes	Chapter 17 residue: empty 'The criterion is:', two vs three constraint forms, '§7.1 excludes', conjugation ceiling on two axes (13r-04..07)	DEFERRED.md L151–153 (chat 86)
E-059	0	OPEN	S	yes	yes	Ruling: do Chapter 4's protocol table rows take headings (§4.6 unresolved at 17 sites); L4920's Chapter 23 pointer returns nothing	DEFERRED.md L155, L1660 (chats 86, 109)
E-060	0	OPEN	M	yes	yes	Chapter 18 blockers: 'Theorems 11.1 and 11.2' have no sites, '86 violations' irreproducible, ν/δ notation (13t-01/04/05/08)	DEFERRED.md L164–175 (chat 87)
E-061	3	OPEN	M	yes	yes	Chapter 18 residue: audits E = 17 outlier at L5062, 'all ten indexed objects' vs 8, self-counts, undefined 'conserving poset', 'one in five'	DEFERRED.md L176–190, L340–341 (chats 87, 90)
E-062	0	OPEN	M	yes	yes	Ruling: are §18.6.1 and §19.5.3 one bibliography index or two (19v-01/02)	DEFERRED.md L245–252 (chat 88)
E-063	3	OPEN	M	yes	yes	Chapter 19 residue: §19.5 mis-attribution, stale Figure 19.1 caption, Edlén 1960/1964, Dunz title, route-type columns, bare counts (19v-04..	DEFERRED.md L266–284 (chat 88)
E-064	4	OPEN	S	yes	yes	R4: no compendium volume points into Chapter 19 (zero section-level pointers from mc, pc, ioi, sc)	DEFERRED.md L285–288 (chat 88)
E-065	6	OPEN	S	no	yes	Pre-chat-88 multi-level pointer verdicts never re-run against the exact-token resolver (covered by pointers.py, unrecorded)	DEFERRED.md L296–301, L327–331 (chats 88–89)
E-066	3	OPEN	M	yes	yes	20x-C2: non-trivial endpoint restoration of the parity rule at Λ₁₀ and above unsettled; L5594–5595's claim unverified	DEFERRED.md L318–322, L336–338 (chats 89–90)
E-067	0	OPEN	M	yes	yes	Doctrine ruling: logic's status, naming of the six languages, six vs seven, C(5,2) vs C(6,2) (20x-04/05/06/09)	DEFERRED.md L323–326, L339–340 (chats 89–90)
E-068	3	OPEN	M	yes	yes	Seed class: §21.5 sites still print the withdrawn 'ten to thirteen' seed band against measured seed(Λ₈) = 7 (21z-01/02/04/05)	DEFERRED.md L356–364, L410–414 (chats 90–91)
E-069	3	OPEN	M	yes	yes	'audit 21' and 'audit 15 ENUMERATION' cite an audit numbering §3 never prints (15i-08)	DEFERRED.md L332–335, L1648–1651 (chats 90, 109)
E-070	3	OPEN	M	yes	yes	Λ₁₃ constraint graph: Figure 21.1 caption and §21.5.3 table carry figures Register 1790 withdrew; artwork needs redraw	DEFERRED.md L401–412 (chat 91)
E-071	3	OPEN	M	yes	yes	Chapter 21 residue: false superlative at L5790, three targetless pointers, 'Registers 487–489' over-cites, 'eight rows of twenty-eight' vs t	DEFERRED.md L419–437 (chat 91)
E-072	2	OPEN	S	yes	yes	Register 487 prints 'Λ's eight constraints' where §21.5.2 and tower-2.py give seven (R4)	DEFERRED.md L438–440 (chat 91)
E-073	3	OPEN	M	yes	yes	Bare '§N.N' companion citations resolve to unrelated main-volume sections (14d-01); whole-volume sweep owed	DEFERRED.md L457–465 (chat 92)
E-074	2	OPEN	M	yes	yes	§21.6 residue: envelope-step count, 'five' never enumerated (Registers 547/548 disagree), retired V-numbering, 'V3 geometry' undefined, 26-c	DEFERRED.md L466–480 (chat 92)
E-075	1	OPEN	M	yes	yes	R4: companion-side and single-witness figures (Chapters 22–23, docket 17) must be declared unverifiable, not left open-looking	DEFERRED.md L481–484, L539–546, L603–608 (chats 92–94)
E-076	3	OPEN	M	yes	yes	F.3's four-column standard claimed at §22.1.1.1 on three columns; census of F.3 citations not taken (14f-01)	DEFERRED.md L515–528 (chat 93)
E-077	2	OPEN	M	yes	yes	Two missing Register entries: §18.4.1's one-dimensional refinement and the correction §23.10.2 cites at 'Registers 96–98'	DEFERRED.md L529–534, L859–867 (chats 93, 97)
E-078	4	OPEN	M	yes	yes	Chapter 22 residue: unprinted 'single run', §33.4/§22.1.1 unlinked twin, Register-markup sweep held in r3-em, loose L6003 claim	DEFERRED.md L535–538, L547–557 (chat 93)
E-079	3	OPEN	S	yes	yes	§32.3 citation class: L5692, L6138, L7492, L7535 disagree with the section's three clauses (14h-05)	DEFERRED.md L581–590, L1523–1529 (chats 94, 107)
E-080	0	OPEN	M	yes	yes	Chapter 22 subject matter: σ names two quantities, 'ν, δ and V all need the ionisation limit', §22.6's 'only linearly rising quantity' (14h-	DEFERRED.md L591–605 (chat 94)
E-081	1	OPEN	L	yes	yes	Unprinted-input class (docket 10, sixty+ members): derived figures printed without the inputs that reproduce them	DEFERRED.md L596–602, L678–683, L780–786, L873–878, L930–938, L997–1003, L1077–1083, L1180–1187, L1329–1334, L1443–1446,
E-082	0	OPEN	M	yes	yes	Ruling: what §25.6 may call its result — Registers 801–803's 'not a deduction' vs the body's ten 'prediction' uses (14z-01/10)	DEFERRED.md L606–614, L1290–1301, L1340–1341 (chats 94, 103)
E-083	0	OPEN	S	yes	yes	Ruling: target of L6135's antiprotonic-helium pointer (§16.4 or §19.2); ablation table's nominal 68.3 % unstated	DEFERRED.md L615–620, L626–628 (chat 94)
E-084	3	OPEN	S	yes	yes	L6270 'Al I at n = 51 and Ga I at n = 53' contradicts §23.15; closed as a finding, open as a repair (14k-02/14q-03)	DEFERRED.md L664–668, L924–930 (chats 95, 98)
E-085	0	OPEN	M	yes	yes	Ruling: is the 32/11 floor stated for the h = 1 series or for V (eight sites); L6381's asymptote claim waits on it (14j-01/14m-10)	DEFERRED.md L669–677, L797–800 (chats 95–96)
E-086	0	OPEN	M	yes	yes	Sign convention on e unstated chapter-wide across w²/e, 8y′²/y‴ and w·V sites (14j-06)	DEFERRED.md L684–689 (chat 95)
E-087	3	OPEN	M	yes	yes	Chapter 23 first-read residue: overgeneralised Prop. 23.1, unnamed p = 0 exponent, 'Observation 14.2', wrong clause ordinal (14j-03/04, 14k-	DEFERRED.md L690–706 (chat 95)
E-088	0	OPEN	M	yes	yes	Ruling: which affine invariance §23.8.3 claims for the Z/R cancellation; L6319's 'abandoned the variable' has no target (14l-16, 14z-08)	DEFERRED.md L778–786, L1310–1314 (chats 96, 103)
E-089	1	OPEN	M	yes	yes	Truncation printed as equality: V = 4ν/3 at 12 sites and §23.6's asymptotic '=' forms (docket 12)	DEFERRED.md L792–796, L887–890 (chats 96–97)
E-090	3	OPEN	M	yes	yes	Chapter 23 second-read residue: Nesterov attribution in five forms, two unsourced quotations, V = 2.0000 margin note, mixed table convention	DEFERRED.md L801–815 (chat 96)
E-091	-	DONE	S	no	yes	Goldens r2-ch14l/r2-ch14m self-poison on BUILD124 — archived to ARCHIVE1 at W-169	DEFERRED.md L841–850 (chat 97)
E-092	4	OPEN	L	yes	yes	Pointer-off-by-one class (docket 9, 22+ members): §-pointers resolve to the heading, not the claim; never swept as a class	DEFERRED.md L868–880, L912–921, L985–990, L1082–1085, L1174–1179, L1302–1309, L1394–1401, L1461–1470, L1523–1529, L1592–
E-093	3	OPEN	L	yes	yes	§23.11 residue: four verdicts vs five rows, '619 refusals / 1,061 order-1 bounds' match nothing, 'held' column (14n-A5..A9)	DEFERRED.md L881–886, L891–898 (chat 97)
E-094	1	OPEN	L	yes	yes	Main volume vs Spectra Compendium contradiction class: K I nd 45.7 vs 12.7, 'every channel', 'none produced a failure' (14p-19, 14q-09, 14t-	DEFERRED.md L915–923, L939–944, L1069–1076 (chats 98–100)
E-095	4	OPEN	L	yes	yes	Chapter 24's headline totals (1,442 at 30 sites, 1,105/869/930, 'thirty-five') are a retired basis; Spectra states 596/2,269/1,577 (14r-01/1	DEFERRED.md L978–991, L1050–1062 (chats 99–100)
E-096	4	OPEN	M	yes	yes	Spectra Compendium data defects: Ar II/Si I tabulated twice, Ga I 'n 41–5' malformed, nine duplicated (species, series) keys (14r-19, 14x-09	DEFERRED.md L1017–1021, L1257–1266 (chats 99, 102)
E-097	3	OPEN	S	yes	yes	§24.3's monotone-with-ℓ claim overstates Figure 24.1's scope; 'members' means two things; 'fits' column holds the ionisation stage (14r-07/0	DEFERRED.md L1004–1016 (chat 99)
E-098	4	OPEN	L	yes	yes	Rulings 45 and 46: session/build remarks (25+ prose sites) and script names (17 main + 4 Register sites) still in reader-facing text; C13 ro	DEFERRED.md L1014–1016, L1086–1091, L1339–1341, L1405–1406, L1490–1493, L1543–1547, L1602–1608, L1657–1659, L1722–1723, 
E-099	3	OPEN	M	yes	yes	Unretired text surviving its own correction (docket 15): §24.8's 'genuine tests' after withdrawal, 'An earlier version/draft' sites	DEFERRED.md L1063–1068, L1600–1601, L1743–1745 (chats 100, 108, 110)
E-100	3	OPEN	L	yes	yes	No volume records per-level provenance (observed vs derived), so the Al I comparison, the 1,442 split and 'two independent sources' cannot b	DEFERRED.md L1077–1081, L1167–1173 (chats 100–101)
E-101	3	OPEN	S	yes	yes	§24.7 'H I gives 5 cells' contradicts L6781 and Register 437; L6783 'worse than scattered' contradicted by both computations (14r-06, 14t-10	DEFERRED.md L1040–1045, L1092–1096 (chats 99–100)
E-102	2	OPEN	M	yes	yes	False-universal class (docket 19): 'every sequence…', 'every verified cell…', 'exactly one infinity', 'densest after 71.4 %' (Registers 447,	DEFERRED.md L1125–1134, L1278–1289, L1518–1522, L1726–1731 (chats 101, 103, 106, 110)
E-103	4	OPEN	L	yes	yes	Absent-member class (docket 20): C IV, Sr I, the sulphur-like sequence and Rb missing from the Spectra Compendium while the main volume depe	DEFERRED.md L1135–1142, L1230–1237, L1327–1332, L1402–1404 (chats 101–104)
E-104	3	OPEN	M	yes	yes	Chapter 24 third-read residue: sodium-like δ basis, §24.11 'cells' column baseless, open-f clause, §24.13 end rule, §24.12's unstated anchor	DEFERRED.md L1143–1166 (chat 101)
E-105	3	OPEN	S	yes	yes	Register 1751 fixed Figure 25.1's caption at 1,061 but §25.5's body says 1,442 twice (14x-02)	DEFERRED.md L1200–1208 (chat 102)
E-106	3	OPEN	M	yes	yes	§25 residue: Hg II half-spacing 24,634 vs measured 5,896.8, unreconciled factor of two at L6932–6936, Ca II/Ba II 17-cell base (14x-03/04/06	DEFERRED.md L1209–1229 (chat 102)
E-107	3	OPEN	S	yes	yes	§25.6 residue: 7s bracket edge from estimated δ(6s), unnamed δ(4s)/δ(5s) series, 'fifth member' is the sixth, L7051's single cause (14z-02/1	DEFERRED.md L1315–1326, L1335–1338, L1342–1344 (chat 103)
E-108	3	OPEN	S	yes	yes	Chapter 26: spliced sentence at L7156, 'Bracket 66 of 66' without population, cost law never stated (15b-01/02/10/11)	DEFERRED.md L1353–1362, L1382–1394 (chat 104)
E-109	0	OPEN	M	yes	yes	Ruling: what §26.2 may claim — σ₂ is a tautology presented as a measurement; Aitken table and σ₁ unreproducible (15b-03/05/06)	DEFERRED.md L1363–1381 (chat 104)
E-110	1	OPEN	S	yes	yes	Rounded-table truncations: T(20)/3 = 91.4477 and §27.2's 0.337 (ln(126/90) = 0.336), which falsifies §27.6's universal (docket 12)	DEFERRED.md L1376–1380, L1440–1442 (chats 104–105)
E-111	2	OPEN	M	yes	yes	§9.2 and §27.5.1 are one passage printed in two chapters (Registers 438, 446); duplicate-passage sweep (15d-01)	DEFERRED.md L1413–1425, L1447–1450 (chat 105)
E-112	3	OPEN	M	yes	yes	L7301 and Register 446 credit §27.2 with a proof it does not contain (15d-05, docket 23)	DEFERRED.md L1426–1429 (chat 105)
E-113	8	OPEN	M	yes	yes	Table/formatting class: space-aligned Chapter 27 tables, shattered headers, mid-sentence breaks, thirty lower-case section openers (docket 2	DEFERRED.md L1433–1439, L1531–1533, L1553–1555, L1607–1609 (chats 105–108)
E-114	6	OPEN	S	no	yes	R4: incoming §-pointer count per section never measured (§27.1/27.3/27.5/27.5.1/27.6 have zero)	DEFERRED.md L1451–1453 (chat 105)
E-115	3	OPEN	S	yes	yes	±1σ coverage printed 69.6 % (§22.2.1) and 68.1 % 'expected' at §28.4 (expected is 68.3) (15f-01)	DEFERRED.md L1499–1503 (chat 106)
E-116	3	OPEN	M	yes	yes	Summary-vs-body count class (dockets 21/31): Chapter 28 heads, §28.7.6/7's seven counts, 320 vs 319 entries, 67.5 vs 65.8 %	DEFERRED.md L1509–1512, L1542–1546, L1584–1587, L1631–1636, L1718–1721 (chats 106–110)
E-117	8	OPEN	S	yes	yes	§28.10 printed inside Chapter 29 between §29.11.2 and §29.12 — move or renumber (15f-05, docket 29)	DEFERRED.md L1513–1517 (chat 106)
E-118	4	OPEN	S	yes	yes	§6.1 never states 'max ∅ = −∞' though L7340 and Register 447 cite it for that (15f-07)	DEFERRED.md L1523–1529 (chat 106)
E-119	3	OPEN	L	yes	yes	Chapter 28 numbering pass: orphan, duplicate and missing item numerals, truncated item 74, count words counting spans not bodies	DEFERRED.md L1556–1568, L1571–1573, L1578–1583, L1588–1591, L1616–1622 (chats 107–109)
E-120	0	OPEN	M	yes	yes	Ruling: 'the first forty-eight' has no printed antecedent — Chapter 28's numerals are Register entry numbers it never printed (15g-04/15h-09	DEFERRED.md L1574–1577, L1600–1601, L1623–1626, L1660–1663 (chats 107–109)
E-121	3	OPEN	S	yes	yes	§28.6's distribution table sums to 20 against no stated population and carries '~3' inside a count table (15g-03)	DEFERRED.md L1569–1570 (chat 107)
E-122	3	OPEN	M	yes	yes	L7636–37 says §31.1 never carried the Hill-radius correlation; §31.1 L8626–8633 prints it (15h-10)	DEFERRED.md L1592–1598 (chat 108)
E-123	3	OPEN	M	yes	yes	Heading-only sections §2.22, §28.7.6 and §28.9 (docket 1) still unauthored; M's to write	DEFERRED.md L1623–1630, L1690–1696 (chats 109–110)
E-124	2	OPEN	M	yes	yes	§2.19.1 declares the false-heading-count repair done citing the wrong entry (286, not 289) and a heading name the volume does not print (15i	DEFERRED.md L1637–1645 (chat 109)
E-125	2	OPEN	S	yes	yes	Citations of non-existent Register entries: 571 at L7719 and L9274; list begins 344, 571, 1002, 1149, 1223, 1257 (15i-09)	DEFERRED.md L1646–1647 (chat 109)
E-126	3	OPEN	S	yes	yes	Two of the ten mechanism names used are the Register's, not §4's printed names (15i-12)	DEFERRED.md L1654–1656 (chat 109)
E-127	3	OPEN	S	yes	yes	The anchoring error lives at §28.4 L7444 but is attributed to §25.6 and §28.6 at three other sites (15j-08)	DEFERRED.md L1701–1706 (chat 110)
E-128	3	OPEN	S	yes	yes	Withdrawals register: PROCEDURE fibre never printed, OBJECT's cell count missing; 147 of 248/319 accounted for (15j-13)	DEFERRED.md L1748–1751 (chat 110)
E-129	-	DONE	S	yes	yes	Chapter 12 close residue (§12.11.4 prose, §12.11.5 identity note, 0.69 % collision) — closed at W-116	DEFERRED.md L15 (chat 75), L28 (chat 76), L45 (chat 78), L710–712 (chat 95)
F-001	3	OPEN	S	yes	yes	L7911 'six of the eleven items in Q' — which state of Q does it speak from (15k-01)	DEFERRED.md L1769–1774 (Chat 111 item 1, 15k-01)
F-002	3	OPEN	M	yes	yes	L7916 'the shape §29.4 already describes' — §29.4 carries none of it (15k-02)	DEFERRED.md L1776–1779 (Chat 111 item 2, 15k-02)
F-003	3	OPEN	S	yes	yes	L7907–08 attributes 'E(X) not claimed as novel' to §29.3; it is printed at §29.8 L8094 (15k-03)	DEFERRED.md L1781–1784 (Chat 111 item 3, 15k-03)
F-004	3	OPEN	S	yes	yes	L7890 cites §23.8.4 for four owners; Manski and Shannon are cited at §29.7 (15k-04)	DEFERRED.md L1786–1789 (Chat 111 item 4, 15k-04)
F-005	3	OPEN	S	yes	yes	'Four independent owners' followed by three named — IEEE 1788 dropped from the prose (15k-05)	DEFERRED.md L1791–1794 (Chat 111 item 5, 15k-05)
F-006	3	OPEN	S	yes	yes	§29.6 heading 'three documents we could not reach' over a table of four; same count at L9057 and L9356 (15k-06)	DEFERRED.md L1796–1800 (Chat 111 item 6, 15k-06); L2555–2559 (Chat 124 item 2)
F-007	3	OPEN	S	yes	yes	L8227–28 'Each is now cited where its finding is' — §12.11 carries none of the eight (15k-07)	DEFERRED.md L1802–1806 (Chat 111 item 7, 15k-07)
F-008	3	OPEN	M	yes	yes	Register size written in words at fifteen main sites; unit fixed at W-215 but the prose sites remain (M's to rule)	DEFERRED.md L1808–1813 (Chat 111 item 8, 15k-08); L2586–2591 (Chat 124 item 8); L3177 (21a-08)
F-009	-	DUP of E-116	S	yes	yes	Chapter 28's size: 273 (Register 658) vs 319 (L7780) vs 320 (chat-110 partition) (15k-09)	DEFERRED.md L1815–1818 (Chat 111 item 9, 15k-09)
F-010	3	OPEN	S	yes	yes	§12.11.0.10 and §32.5 pointers (L7934–35, L7896) are reads owed, not yet defects	DEFERRED.md L1820–1825 (Chat 111 item 10)
F-011	-	DUP of E-099	M	yes	yes	Docket 15 word-forms: 'an earlier draft' at seven main sites, 'an earlier version' at eight	DEFERRED.md L1827–1830 (Chat 111 item 11); L2091–2095 (Chat 116 16b-08); L2599 (Chat 124 item 6)
F-012	-	DUP of E-117	M	yes	yes	§28.10 placed between §29.11.2 and §29.12 — original, not production (docket 29)	DEFERRED.md L1832–1836 (Chat 111 item 12)
F-013	6	OPEN	M	no	yes	Functions owed to r2lib — standing list carried through chat 151-B, never lifted	DEFERRED.md L1850–1857 (Chat 111 item 14); L2067–2073; L2148–2157; L2226–2232; L2536–2539; L2880–2884; L2930; L2977; and
F-014	3	OPEN	M	yes	yes	Two page-count conventions four lines apart (L8021 inclusive, L8025 exclusive) (15l-01)	DEFERRED.md L1862–1866 (Chat 112 item 1, 15l-01)
F-015	3	OPEN	S	yes	yes	§29.5.1 heading 'Every equation in the review is a fit' — three of seven rows are not fitted (15l-02)	DEFERRED.md L1868–1871 (Chat 112 item 2, 15l-02)
F-016	3	OPEN	S	yes	yes	'Principle 8' at L7947 and L9316 — principles are numbered P1–P23 (15l-03)	DEFERRED.md L1873–1877 (Chat 112 item 3, 15l-03); L2581–2585 (Chat 124 item 7)
F-017	3	OPEN	M	yes	yes	Edlén dated 1960 at 4 sites and 1964 at 25 across five volumes (docket 16)	DEFERRED.md L1879–1883 (Chat 112 item 4, 15l-04)
F-018	3	OPEN	M	yes	yes	App F.4.3 carries one Edlén work as two bibliography entries with two dates and two titles (15l-05)	DEFERRED.md L1885–1888 (Chat 112 item 5, 15l-05)
F-019	3	OPEN	S	yes	yes	L7995 cites §23.3 for 'V has no use in a fitting paradigm'; the sentence is at §32.7 L9356 (15l-06)	DEFERRED.md L1890–1894 (Chat 112 item 6, 15l-06)
F-020	3	OPEN	M	yes	yes	'N years old' / 'fifty years' statements stale against a 2026 present at 5 main and 6 Register sites (15l-07)	DEFERRED.md L1896–1900 (Chat 112 item 7, 15l-07); L1996–1998 (Chat 114 15n-05)
F-021	3	OPEN	S	yes	yes	L8018 'having previously been stated from recollection' — drafting history shown to a reader (15l-08)	DEFERRED.md L1902–1903 (Chat 112 item 8, 15l-08)
F-022	3	OPEN	M	yes	yes	§29.6 L8039 restates 'ρ ≤ 2 for each; every route closed', which §19.5.1 withdrew (15m-01, docket 35)	DEFERRED.md L1910–1916 (Chat 113 item 1, 15m-01)
F-023	3	OPEN	S	yes	yes	'Four owners of the cost-of-rigour framing' — three statements with no common reading of 'owner' (15m-02)	DEFERRED.md L1918–1922 (Chat 113 item 2, 15m-02)
F-024	3	OPEN	S	yes	yes	L8043–44 universal 'sharing this book's mathematics also supplied new derivations' refuted by its own table (15m-03)	DEFERRED.md L1924–1927 (Chat 113 item 3, 15m-03)
F-025	3	OPEN	S	yes	yes	L8070 '§29.7 reported 7/7 on controls' — the figure exists only in its own citation (15m-04)	DEFERRED.md L1929–1933 (Chat 113 item 4, 15m-04)
F-026	3	OPEN	S	yes	yes	Anchoring failure attributed to four different homes (L8080, §28.6, §28.8, §28.4)	DEFERRED.md L1935–1937 (Chat 113 item 5, 15m-05)
F-027	-	DONE	S	yes	yes	Docket 7 / 14l-16 re-stated as a finding (affine invariance at §23.8.3 L6368)	DEFERRED.md L1939–1943 (Chat 113 item 6, 15m-06)
F-028	3	OPEN	S	yes	yes	Habib, Nourine, Raynaud & Thierry (L8096) lack an Appendix F entry	DEFERRED.md L1945–1949 (Chat 113 item 7, 15m-07)
F-029	3	OPEN	S	yes	yes	'Nine literatures' names ten at L8074, L8076 and L8085	DEFERRED.md L1951–1953 (Chat 113 item 8, 15m-08)
F-030	3	OPEN	S	yes	yes	L8074 partition 1 + 4 + 2 of nine never names the four or the two	DEFERRED.md L1955–1957 (Chat 113 item 9, 15m-09)
F-031	6	OPEN	S	no	yes	Two-line-join sweep in r2-ch15r/s double-reports every hit	DEFERRED.md L1959–1962 (Chat 113 item 10)
