artefact	family	status	held_as
READ-ch15b.md	READ	HELD	
READ-ch15d.md	READ	HELD	
READ-ch15f.md	READ	HELD	
READ-ch15g.md	READ	HELD	
READ-ch15h.md	READ	HELD	
READ-ch15i.md	READ	HELD	
READ-ch15j.md	READ	HELD	
READ-ch15k.md	READ	IN-CHAT-BODY	2026-09/81ce11d3-3572-43bb-b601-083c48bdeb41.json
READ-ch15l.md	READ	HELD	
READ-ch15m.md	READ	HELD	
READ-ch15n.md	READ	IN-CHAT	2026-09/7a495fd1-93f1-4bfe-acdf-f0a8c13ebb46.json
READ-ch15o.md	READ	HELD	
READ-ch16b.md	READ	HELD	
READ-ch16d.md	READ	HELD	
READ-ch16g.md	READ	HELD	
READ-ch16j.md	READ	HELD	
READ-ch16m.md	READ	HELD	
READ-ch16o.md	READ	HELD	
READ-ch16q.md	READ	HELD	
READ-ch16r.md	READ	HELD	
READ-ch16t.md	READ	HELD	
READ-ch16v.md	READ	HELD	
READ-ch16x.md	READ	HELD	
READ-ch16z.md	READ	HELD	
READ-ch17a.md	READ	HELD	
READ-ch17c.md	READ	HELD	
READ-ch17e.md	READ	HELD	
READ-ch18a.md	READ	HELD	
READ-ch19a.md	READ	HELD	
READ-ch2-A.md	READ	HELD	
READ-ch2-B.md	READ	HELD	
READ-ch2.md	READ	HELD	
READ-ch20a.md	READ	HELD	
READ-ch21a.md	READ	HELD	
READ-ch22a.md	READ	HELD	
READ-ch23a.md	READ	HELD	
READ-ch24a.md	READ	HELD	
READ-ch25a.md	READ	HELD	
READ-ch26a.md	READ	HELD	
READ-ch27a.md	READ	HELD	
READ-ch28a.md	READ	HELD	
READ-ch3.md	READ	HELD	
READ-ch34re.md	READ	HELD	
READ-ch4.md	READ	HELD	
READ-ch5.md	READ	HELD	
READ-ch6.md	READ	HELD	
READ-ch7.md	READ	HELD	
READ-ch8.md	READ	HELD	
READ-ch9.md	READ	HELD	
READ-chNN.md	READ	IN-CHAT	2026-08/03358ff8-a853-49c0-b5d1-4aa02c7f9bd2.json
READ-intake1.md	READ	HELD	
READ-scf.md	READ	HELD	
READ-warn.md	READ	HELD	
READING-LIST-CENSUS.txt	other	HELD	
READING-LIST-STAGING.tsv	data	HELD	
READING-LIST.tsv	data	HELD	
README.md	other	HELD	
REGISTER-DATA.md	REGISTER	HELD	
REGISTER.md	other	HELD	
REGISTER_AUDIT.md	other	HELD	
REQUEST-LOWDIN.md	other	HELD	
REQUEST-SPECTRA-DATA.md	other	HELD	
REQUEST-THREEBODY.md	other	HELD	
RESPONSE-TO-METHOD-1_6.md	other	HELD	
RESTORE-PACKS.md	other	IN-CHAT	2026-08/0015184d-d9fb-4917-9ad2-2ebafb232a9f.json
RUL-127.md	other	IN-CHAT	2026-09/30e87b6f-5001-4643-86c5-e3b5fce8373a.json
RULING-TOLERANCE-489.md	RULING	HELD	
RULINGS-R2.md	other	HELD	
SPECTRA-DATA.tsv	data	HELD	
SPECTRA-REMAINING.md	other	HELD	
SPECTRA.md	other	IN-CHAT-BODY	2026-08/3851d6dc-a805-49de-a922-d81e36fba67c.json
STRINGPF-CONVEXITY-RESOLVED.md	other	HELD	
SWEEP-B-C-chat67.md	other	HELD	
ScIII_asd.tsv	data	HELD	
SiI.tsv	data	HELD	
SiI_LS.tsv	data	HELD	
SiI_nd12b.tsv	data	HELD	
SiI_nd32low.tsv	data	HELD	
SiI_nf.tsv	data	HELD	
SiI_ns.tsv	data	HELD	
SiI_ns12.tsv	data	HELD	
SiI_ryd.tsv	data	HELD	
T8-CENSUS.txt	other	HELD	
T8-D1-RECORD.txt	other	HELD	
T9-CENSUS.tsv	data	HELD	
T9-RESIDUE.tsv	data	HELD	
T9-TERMS.tsv	data	HELD	
TASKS.md	other	HELD	
TB1-MANIFEST.tsv	data	HELD	
TB1-README.md	other	HELD	
TB1-audit.py	instrument	HELD	
TB1-audit_state1_failing.py	instrument	HELD	
TB1-caps_table.py	instrument	HELD	
TB1-figs.py	instrument	HELD	
TB1-figs2.py	instrument	HELD	
TB1-n8_check.py	instrument	HELD	
TB1-routh_check.py	instrument	HELD	
THE-LOWDIN-SOLUTION-2.md	other	HELD	
THE-LOWDIN-SOLUTION.md	other	IN-CHAT	2026-08/04a06ea9-2cb4-4cb1-a309-78d91951af60.json
The_Method_1_6-1.md	other	IN-CHAT	2026-08/0015184d-d9fb-4917-9ad2-2ebafb232a9f.json
The_Method_1_6-2.md	other	HELD	
The_Method_1_6.md	other	IN-CHAT	2026-08/b778e075-7807-4392-8a24-2dfc864468bc.json
The_Method_1_6_ARCHIVE1_legacy_handoffs_ch12-15.md	other	HELD	
The_Method_1_6_BUILD124_compendia_papers_audits.md	other	HELD	
The_Method_1_6_BUILD135_compendia_papers_audits.md	other	HELD	
The_Method_1_6_BUILD159_compendia_papers_audits.md	other	IN-CHAT	2026-09/7fc71c15-0413-476a-b38d-fa5bc5a668a2.json
The_Method_1_6_BUILD90_main_and_register.md	other	HELD	
The_Method_1_6_BUILD91_main_and_register.md	other	IN-CHAT	2026-09/30e87b6f-5001-4643-86c5-e3b5fce8373a.json
The_Method_1_6___Mathematical_Compendium-2.md	other	HELD	
The_Method_1_6___Spectra_Compendium-2.md	other	HELD	
The_Method_1_6___The_Index_of_Indices-2.md	other	HELD	
The_Method_1_6___The_Physics_Compendium-2.md	other	HELD	
The_Method_1_6___The_Register-1.md	other	IN-CHAT	2026-08/04a06ea9-2cb4-4cb1-a309-78d91951af60.json
The_Method_1_6___The_Register-2.md	other	HELD	
The_Method_1_6_audits.py	instrument	HELD	
The_Register-2.md	other	IN-CHAT	2026-08/0015184d-d9fb-4917-9ad2-2ebafb232a9f.json
The_Three_Body_Problem_for_Unknown_Masses_Lach-2.md	other	HELD	
Transitions-1.md	other	IN-CHAT	2026-08/0015184d-d9fb-4917-9ad2-2ebafb232a9f.json
Transitions.md	other	HELD	
URLS-SUPPLIED.md	other	HELD	
W-NNN.md	other	IN-CHAT-BODY	2026-08/09a19323-28c3-4caf-ba93-3271eed7a7ac.json
WORKING-REGISTER.md	other	HELD	
XRAY-KL3.tsv	data	HELD	
XRAY-L1N2.tsv	data	HELD	
XRAY-L1N3.tsv	data	HELD	
XRAY-L2M1.tsv	data	HELD	
XRAY-L2M4.tsv	data	HELD	
XRAY-L3M1.tsv	data	HELD	
XRAY-L3M4.tsv	data	HELD	
XRAY-L3M5.tsv	data	HELD	
ZnI_ryd.tsv	data	HELD	
a4dd0e54-HANDOFF99.md	other	ABSENT	
a5c.py	instrument	HELD	
allcons.py	instrument	HELD	
amd2_mech.py	instrument	HELD	
amd2_write.py	instrument	HELD	
appendix_audit.py	instrument	HELD	
appf.py	instrument	HELD	
archive-split.py	instrument	HELD	
archive_store_gen_v1.py	instrument	IN-CHAT	2026-08/01318618-b019-4f12-9719-c63040f506bd.json
audit.py	instrument	HELD	
audit_out.txt	other	HELD	
audit_state1_failing.py	instrument	HELD	
audits.py	instrument	IN-CHAT	2026-07/2664a3b0-7ab0-4766-8fb7-8a0006d3fbe8.json
aufbau.py	instrument	HELD	
balance.py	instrument	HELD	
belokolos_spectrum.py	instrument	HELD	
bookindex.py	instrument	HELD	
brack.py	instrument	HELD	
bracket.py	instrument	HELD	
build.py	instrument	HELD	
build126.py	instrument	HELD	
bundle.py	instrument	HELD	
caps_table.py	instrument	HELD	
census.py	instrument	HELD	
cgraph.py	instrument	HELD	
channel_verify.py	instrument	HELD	
channels.py	instrument	HELD	
channels_LIMB.py	instrument	HELD	
check_audit.py	instrument	HELD	
chem_index.py	instrument	HELD	
classify.json	data	HELD	
close.py	instrument	HELD	
close_L.py	instrument	HELD	
compendium.py	instrument	HELD	
compendium_audit.py	instrument	HELD	
contingency.py	instrument	HELD	
converge_selfsame.py	instrument	HELD	
convert.py	instrument	HELD	
coords.csv	data	IN-CHAT	2026-08/0015184d-d9fb-4917-9ad2-2ebafb232a9f.json
coords.py	instrument	HELD	
coreblind_fill.py	instrument	HELD	
covers8.json	data	HELD	
crop_titles.py	instrument	HELD	
ctra_Compendium-2.md	other	IN-CHAT	2026-09/35701547-47d4-4d07-b2ab-ea2e8edc7678.json
d120_spectral_index_and_action.txt	other	HELD	
dclose.py	instrument	HELD	
densities.py	instrument	IN-CHAT	2026-07/5f7147b4-49d3-4c64-8846-a2b19510f635.json
depoint.py	instrument	HELD	
domain_protocol.py	instrument	HELD	
excise.py	instrument	HELD	
excise_plan.json	data	HELD	
excision_result.json	data	HELD	
f1_1.png	figure	IN-CHAT	2026-08/182637ad-bb08-42e0-ae6e-58708afa667a.json
f1_2.png	figure	IN-CHAT	2026-08/182637ad-bb08-42e0-ae6e-58708afa667a.json
f1_3.png	figure	IN-CHAT	2026-08/182637ad-bb08-42e0-ae6e-58708afa667a.json
f2_1.png	figure	IN-CHAT	2026-08/182637ad-bb08-42e0-ae6e-58708afa667a.json
f2_2.png	figure	IN-CHAT	2026-08/182637ad-bb08-42e0-ae6e-58708afa667a.json
f2_3.png	figure	IN-CHAT	2026-08/182637ad-bb08-42e0-ae6e-58708afa667a.json
f2_4.png	figure	IN-CHAT	2026-08/182637ad-bb08-42e0-ae6e-58708afa667a.json
f2_5.png	figure	IN-CHAT	2026-08/182637ad-bb08-42e0-ae6e-58708afa667a.json
f3_1.png	figure	IN-CHAT	2026-08/182637ad-bb08-42e0-ae6e-58708afa667a.json
f3_2.png	figure	IN-CHAT	2026-08/182637ad-bb08-42e0-ae6e-58708afa667a.json
f3_3.png	figure	IN-CHAT	2026-08/182637ad-bb08-42e0-ae6e-58708afa667a.json
f3_4.png	figure	IN-CHAT	2026-08/182637ad-bb08-42e0-ae6e-58708afa667a.json
f3_5.png	figure	IN-CHAT	2026-08/182637ad-bb08-42e0-ae6e-58708afa667a.json
f4_1.png	figure	IN-CHAT	2026-08/182637ad-bb08-42e0-ae6e-58708afa667a.json
f4_2.png	figure	IN-CHAT	2026-08/182637ad-bb08-42e0-ae6e-58708afa667a.json
f4_3.png	figure	IN-CHAT	2026-08/182637ad-bb08-42e0-ae6e-58708afa667a.json
f4_4.png	figure	IN-CHAT	2026-08/182637ad-bb08-42e0-ae6e-58708afa667a.json
f4_5.png	figure	IN-CHAT	2026-08/182637ad-bb08-42e0-ae6e-58708afa667a.json
f4_6.png	figure	IN-CHAT	2026-08/182637ad-bb08-42e0-ae6e-58708afa667a.json
f4_7.png	figure	IN-CHAT	2026-08/182637ad-bb08-42e0-ae6e-58708afa667a.json
f5_1.png	figure	IN-CHAT	2026-08/182637ad-bb08-42e0-ae6e-58708afa667a.json
f5_2.png	figure	IN-CHAT	2026-08/182637ad-bb08-42e0-ae6e-58708afa667a.json
f5_3.png	figure	IN-CHAT	2026-08/182637ad-bb08-42e0-ae6e-58708afa667a.json
f6_1.png	figure	IN-CHAT	2026-08/182637ad-bb08-42e0-ae6e-58708afa667a.json
f6_2.png	figure	IN-CHAT	2026-08/182637ad-bb08-42e0-ae6e-58708afa667a.json
factor.py	instrument	HELD	
fig-channel-map.png	figure	HELD	
fig-constraints.png	figure	HELD	
fig-i1-tower.png	figure	HELD	
fig-i2-landscape.png	figure	HELD	
fig-i3-lambda8.png	figure	HELD	
fig-i4-crossing.png	figure	HELD	
fig-index-final.png	figure	HELD	
fig-pareto-1.png	figure	HELD	
fig-sections.png	figure	HELD	
fig-silhouette.png	figure	HELD	
fig-spectra-grid.png	figure	HELD	
fig-spectra-lattice.png	figure	HELD	
fig-supply.png	figure	HELD	
fig-tree-1.png	figure	HELD	
fig00.png	figure	HELD	
fig01.png	figure	HELD	
fig02.png	figure	HELD	
fig03.png	figure	HELD	
fig04.png	figure	HELD	
fig05.png	figure	HELD	
fig06.png	figure	HELD	
fig07.png	figure	HELD	
fig08.png	figure	HELD	
fig09.png	figure	HELD	
fig10.png	figure	HELD	
fig11.png	figure	HELD	
fig12.png	figure	HELD	
fig13.png	figure	HELD	
fig14.png	figure	HELD	
fig15.png	figure	HELD	
fig16.png	figure	HELD	
fig17.png	figure	HELD	
fig18.png	figure	HELD	
fig19.png	figure	HELD	
fig1_shape_sphere.png	figure	HELD	
fig20.png	figure	HELD	
fig21.png	figure	HELD	
fig22.png	figure	HELD	
fig23.png	figure	HELD	
fig24.png	figure	HELD	
fig241_data.json	data	HELD	
fig25.png	figure	HELD	
fig26.png	figure	HELD	
fig27.png	figure	HELD	
fig2_closure_defect.png	figure	HELD	
fig3_tower.png	figure	HELD	
fig4_equator_potential.png	figure	HELD	
fig5_constraint_graphs.png	figure	HELD	
fig_constraints.py	instrument	HELD	
fig_indices.py	instrument	HELD	
fig_rerender.py	instrument	HELD	
figaddioichain.png	figure	HELD	
figaddioiprovenance.png	figure	HELD	
figaddscgpin.png	figure	HELD	
figaddscmargin.png	figure	HELD	
figs.py	instrument	HELD	
figs2.py	instrument	HELD	
figure-10.1.png	figure	HELD	
figure-11.1.png	figure	HELD-VIA-ALIAS	fig07.png
figure-11.2.png	figure	HELD-VIA-ALIAS	fig08.png
figure-12.1.png	figure	HELD-VIA-ALIAS	fig09.png
figure-12.2.png	figure	HELD-VIA-ALIAS	fig-sections.png
figure-12.3.png	figure	HELD	
figure-12.4.png	figure	HELD-VIA-ALIAS	fig-tree-1.png
figure-12.5.png	figure	HELD-VIA-ALIAS	fig-silhouette.png
figure-15.1.png	figure	HELD	
figure-16.1.png	figure	HELD	
figure-16.2.png	figure	HELD-VIA-ALIAS	fig12.png
figure-19.1.png	figure	HELD	
figure-21.1.png	figure	HELD-VIA-ALIAS	fig-constraints.png
figure-23.1.png	figure	HELD	
figure-23.2.png	figure	HELD	
figure-23.3.png	figure	HELD-VIA-ALIAS	fig16.png
figure-23.4.png	figure	HELD-VIA-ALIAS	fig17.png
figure-24.1.png	figure	HELD	
figure-24.2.png	figure	HELD	
figure-24.3.png	figure	HELD	
figure-25.1.png	figure	HELD	
figure-25.2.png	figure	HELD	
figure-26.1.png	figure	HELD	
figure-27.1.png	figure	HELD-VIA-ALIAS	fig24.png
figure-30.1.png	figure	HELD-VIA-ALIAS	fig25.png
figure-30.2.png	figure	HELD-VIA-ALIAS	fig26.png
figure-6.1.png	figure	HELD	
figure-6.2.png	figure	HELD	
figure-7.1.png	figure	HELD	
figure-8.1.png	figure	HELD-VIA-ALIAS	fig03.png
figure-8.2.png	figure	HELD	
figure-9.1.png	figure	HELD-VIA-ALIAS	fig05.png
figure-D.1-prior-32-elements.png	figure	IN-CHAT	2026-08/2f6e0568-b5bc-4709-8eca-7c64aeea87bb.json
figure-D.1.png	figure	HELD	
file.png	figure	IN-CHAT	2026-08/01318618-b019-4f12-9719-c63040f506bd.json
gate-log.tsv	data	IN-CHAT	2026-08/03358ff8-a853-49c0-b5d1-4aa02c7f9bd2.json
gate.py	instrument	HELD	
ground.py	instrument	HELD	
guard.py	instrument	IN-CHAT	2026-08/0015184d-d9fb-4917-9ad2-2ebafb232a9f.json
handoff_cert.py	instrument	HELD	
heii.py	instrument	HELD	
heii_levels.txt	other	HELD	
heii_series.json	data	HELD	
index_gen.py	instrument	HELD	
index_locs.json	data	IN-CHAT	2026-08/0c039705-28b6-450b-b7f6-646e1da3ce25.json
index_pages.py	instrument	HELD	
index_prior.txt	other	IN-CHAT	2026-08/46d15e47-bc24-45e7-8ed1-e3028bef9638.json
indices.py	instrument	HELD	
isoelectronic.py	instrument	HELD	
kinds.py	instrument	HELD	
l-ch1.py	instrument	HELD	
l-ch2.py	instrument	HELD	
l42.py	instrument	HELD	
ladder_index.py	instrument	HELD	
ladder_index2.py	instrument	IN-CHAT	2026-08/01318618-b019-4f12-9719-c63040f506bd.json
lowdin_dich.py	instrument	HELD	
lowdin_gate.py	instrument	HELD	
lowdin_outer.py	instrument	HELD	
lowdin_rule.py	instrument	HELD	
lowdin_tight.py	instrument	HELD	
madelung.py	instrument	HELD	
madelung2.py	instrument	HELD	
main_pre_seg1.md	other	IN-CHAT	2026-08/04a06ea9-2cb4-4cb1-a309-78d91951af60.json
main_pre_seg6.md	other	IN-CHAT	2026-08/46d15e47-bc24-45e7-8ed1-e3028bef9638.json
main_pre_v39.md	other	IN-CHAT	2026-08/46d15e47-bc24-45e7-8ed1-e3028bef9638.json
main_source_backup_pre_appf.md	other	IN-CHAT	2026-08/182637ad-bb08-42e0-ae6e-58708afa667a.json
mas20.txt	other	IN-CHAT	2026-08/2d4574ce-0f68-46af-9461-45c9290135ad.json
mass_1.mas20.txt	other	IN-CHAT	2026-07/35d529f0-6057-4dc0-bbe6-fdf7a3f7e7eb.json
massround.mas20.txt	other	IN-CHAT	2026-08/35853492-c129-4d04-ba78-60c8eec18326.json
mathreg.py	instrument	HELD	
mathverify.py	instrument	HELD	
mc11.py	instrument	HELD	
mc11b.py	instrument	HELD	
mc12.py	instrument	HELD	
mech_audit.py	instrument	HELD	
merged_triples.py	instrument	HELD	
minmax.py	instrument	HELD	
mkref.py	instrument	HELD	
n8_check.py	instrument	HELD	
ncoords.py	instrument	IN-CHAT	2026-08/0015184d-d9fb-4917-9ad2-2ebafb232a9f.json
nuclear_corridor.py	instrument	HELD	
null_madelung.py	instrument	HELD	
numbers-index.py	instrument	IN-CHAT	2026-07/5f7147b4-49d3-4c64-8846-a2b19510f635.json
numcheck.py	instrument	HELD	
objs.json	data	IN-CHAT	2026-08/0b97c9bf-708c-4c84-aff3-2db90f872699.json
out.md	other	IN-CHAT	2026-08/0c039705-28b6-450b-b7f6-646e1da3ce25.json
pagemap.py	instrument	HELD	
pageproof.py	instrument	IN-CHAT	2026-08/0015184d-d9fb-4917-9ad2-2ebafb232a9f.json
pages.md	other	IN-CHAT	2026-08/0015184d-d9fb-4917-9ad2-2ebafb232a9f.json
phase4.py	instrument	HELD	
physics.py	instrument	HELD	
pjj.py	instrument	HELD	
power.py	instrument	HELD	
press.py	instrument	IN-CHAT	2026-07/5f7147b4-49d3-4c64-8846-a2b19510f635.json
press_all.py	instrument	IN-CHAT	2026-08/0015184d-d9fb-4917-9ad2-2ebafb232a9f.json
press_compendia.py	instrument	HELD	
protindex.py	instrument	HELD	
pverify.py	instrument	HELD	
qgraph.py	instrument	HELD	
r2-21a.py	instrument	HELD	
r2-23a.py	instrument	HELD	
r2-24a.py	instrument	HELD	
r2-25b.py	instrument	HELD	
r2-26b.py	instrument	HELD	
r2-ch1.py	instrument	HELD	
r2-ch10.py	instrument	HELD	
r2-ch11.py	instrument	HELD	
r2-ch12a.py	instrument	HELD	
r2-ch12b.py	instrument	HELD	
r2-ch12c.py	instrument	HELD	
r2-ch12d.py	instrument	HELD	
r2-ch12e.py	instrument	HELD	
r2-ch12f.py	instrument	HELD	
r2-ch12g.py	instrument	HELD	
r2-ch12h.py	instrument	HELD	
r2-ch12i.py	instrument	HELD	
r2-ch12j.py	instrument	HELD	
r2-ch12k.py	instrument	HELD	
r2-ch12l.py	instrument	HELD	
r2-ch12m.py	instrument	HELD	
r2-ch12n.py	instrument	HELD	
r2-ch12o.py	instrument	HELD	
r2-ch12p.py	instrument	HELD	
r2-ch12q.py	instrument	HELD	
r2-ch12r.py	instrument	HELD	
r2-ch12s.py	instrument	HELD	
r2-ch12t.py	instrument	HELD	
r2-ch12u.py	instrument	HELD	
r2-ch12v.py	instrument	HELD	
r2-ch12w.py	instrument	HELD	
r2-ch12x.py	instrument	HELD	
r2-ch12y.py	instrument	HELD	
r2-ch12z.py	instrument	HELD	
r2-ch13a.py	instrument	HELD	
r2-ch13b.py	instrument	IN-CHAT	2026-08/a9c8af26-522f-4685-a146-6a2d82d6e4cb.json
r2-ch13c.py	instrument	IN-CHAT	2026-08/a9c8af26-522f-4685-a146-6a2d82d6e4cb.json
r2-ch13d.py	instrument	IN-CHAT	2026-08/a9c8af26-522f-4685-a146-6a2d82d6e4cb.json
r2-ch13e.py	instrument	IN-CHAT	2026-08/37aaed26-2634-4eba-8490-9cac72ddc78a.json
r2-ch13f.py	instrument	IN-CHAT	2026-08/37aaed26-2634-4eba-8490-9cac72ddc78a.json
r2-ch13g.py	instrument	IN-CHAT	2026-08/37aaed26-2634-4eba-8490-9cac72ddc78a.json
r2-ch13h.py	instrument	IN-CHAT	2026-08/09a19323-28c3-4caf-ba93-3271eed7a7ac.json
r2-ch13i.py	instrument	IN-CHAT	2026-08/09a19323-28c3-4caf-ba93-3271eed7a7ac.json
r2-ch13j.py	instrument	IN-CHAT	2026-08/09a19323-28c3-4caf-ba93-3271eed7a7ac.json
r2-ch13k.py	instrument	IN-CHAT	2026-08/09a19323-28c3-4caf-ba93-3271eed7a7ac.json
r2-ch13l.py	instrument	HELD	
r2-ch13m.py	instrument	HELD	
r2-ch13n.py	instrument	HELD	
r2-ch13o.py	instrument	HELD	
r2-ch13p.py	instrument	IN-CHAT	2026-08/8921b090-d9d2-409d-89d6-79059864f2a1.json
r2-ch13q.py	instrument	IN-CHAT	2026-08/8921b090-d9d2-409d-89d6-79059864f2a1.json
r2-ch13r.py	instrument	IN-CHAT	2026-08/09a19323-28c3-4caf-ba93-3271eed7a7ac.json
r2-ch13s.py	instrument	IN-CHAT	2026-08/09a19323-28c3-4caf-ba93-3271eed7a7ac.json
r2-ch13t.py	instrument	IN-CHAT	2026-08/09a19323-28c3-4caf-ba93-3271eed7a7ac.json
r2-ch13u.py	instrument	IN-CHAT	2026-08/09a19323-28c3-4caf-ba93-3271eed7a7ac.json
r2-ch13v.py	instrument	IN-CHAT	2026-08/09a19323-28c3-4caf-ba93-3271eed7a7ac.json
r2-ch13w.py	instrument	IN-CHAT	2026-08/09a19323-28c3-4caf-ba93-3271eed7a7ac.json
r2-ch13x.py	instrument	IN-CHAT	2026-08/09a19323-28c3-4caf-ba93-3271eed7a7ac.json
r2-ch13y.py	instrument	IN-CHAT	2026-08/09a19323-28c3-4caf-ba93-3271eed7a7ac.json
r2-ch13z.py	instrument	IN-CHAT	2026-08/09a19323-28c3-4caf-ba93-3271eed7a7ac.json
r2-ch14a.py	instrument	IN-CHAT	2026-08/09a19323-28c3-4caf-ba93-3271eed7a7ac.json
r2-ch14b.py	instrument	IN-CHAT	2026-08/146fd7b1-4171-42ff-a76c-b9536152405d.json
r2-ch14c.py	instrument	IN-CHAT	2026-08/146fd7b1-4171-42ff-a76c-b9536152405d.json
r2-ch14d.py	instrument	IN-CHAT	2026-08/4f816e48-7326-499c-9244-1bf8f2aa22a0.json
r2-ch14e.py	instrument	IN-CHAT	2026-08/4f816e48-7326-499c-9244-1bf8f2aa22a0.json
r2-ch14f.py	instrument	IN-CHAT	2026-08/4f816e48-7326-499c-9244-1bf8f2aa22a0.json
r2-ch14g.py	instrument	IN-CHAT	2026-08/4f816e48-7326-499c-9244-1bf8f2aa22a0.json
r2-ch14h.py	instrument	IN-CHAT	2026-08/4f816e48-7326-499c-9244-1bf8f2aa22a0.json
r2-ch14i.py	instrument	IN-CHAT	2026-08/4f816e48-7326-499c-9244-1bf8f2aa22a0.json
r2-ch14j.py	instrument	IN-CHAT	2026-08/c3b3f697-4f4a-4f4d-a429-ef78856cc94c.json
r2-ch14k.py	instrument	IN-CHAT	2026-08/c3b3f697-4f4a-4f4d-a429-ef78856cc94c.json
r2-ch14l.py	instrument	IN-CHAT	2026-08/8e854e1e-3792-46a2-9163-1ea1661d4ffe.json
r2-ch14m.py	instrument	IN-CHAT	2026-08/8e854e1e-3792-46a2-9163-1ea1661d4ffe.json
r2-ch14n.py	instrument	IN-CHAT	2026-08/8e854e1e-3792-46a2-9163-1ea1661d4ffe.json
r2-ch14o.py	instrument	IN-CHAT	2026-08/8e854e1e-3792-46a2-9163-1ea1661d4ffe.json
r2-ch14p.py	instrument	IN-CHAT	2026-08/2642ac6b-c6ca-4414-bb52-81347610b659.json
r2-ch14q.py	instrument	IN-CHAT	2026-08/2642ac6b-c6ca-4414-bb52-81347610b659.json
r2-ch14r.py	instrument	IN-CHAT	2026-08/2642ac6b-c6ca-4414-bb52-81347610b659.json
r2-ch14s.py	instrument	IN-CHAT	2026-08/2642ac6b-c6ca-4414-bb52-81347610b659.json
r2-ch14t.py	instrument	IN-CHAT	2026-08/c8759945-d887-4a31-9ddd-a83e85634018.json
r2-ch14u.py	instrument	IN-CHAT	2026-08/c8759945-d887-4a31-9ddd-a83e85634018.json
r2-ch14v.py	instrument	IN-CHAT	2026-08/cb7b153e-1822-4506-b491-de8025d76fb7.json
r2-ch14w.py	instrument	IN-CHAT	2026-08/cb7b153e-1822-4506-b491-de8025d76fb7.json
r2-ch14x.py	instrument	IN-CHAT	2026-08/9c9a7394-cf0f-4bd4-b663-c4c2e4c15f95.json
r2-ch14y.py	instrument	IN-CHAT	2026-08/9c9a7394-cf0f-4bd4-b663-c4c2e4c15f95.json
r2-ch14z.py	instrument	IN-CHAT	2026-08/22f6f4ec-c68d-4f24-b253-7e50b899118d.json
r2-ch15a.py	instrument	IN-CHAT	2026-08/22f6f4ec-c68d-4f24-b253-7e50b899118d.json
r2-ch15b.py	instrument	IN-CHAT	2026-08/22f6f4ec-c68d-4f24-b253-7e50b899118d.json
r2-ch15c.py	instrument	IN-CHAT	2026-08/22f6f4ec-c68d-4f24-b253-7e50b899118d.json
r2-ch15d.py	instrument	IN-CHAT	2026-08/aae9604f-db73-4f73-955d-31a5bd961d7d.json
r2-ch15e.py	instrument	IN-CHAT	2026-08/aae9604f-db73-4f73-955d-31a5bd961d7d.json
r2-ch15f.py	instrument	IN-CHAT	2026-08/b7f6af31-e1d4-4dee-a7ff-df24102b0fb6.json
r2-ch15g.py	instrument	IN-CHAT	2026-08/b7f6af31-e1d4-4dee-a7ff-df24102b0fb6.json
r2-ch15h.py	instrument	IN-CHAT	2026-08/0d01b07f-63f3-49a7-9bc7-d310656689ee.json
r2-ch15i.py	instrument	IN-CHAT	2026-08/0d01b07f-63f3-49a7-9bc7-d310656689ee.json
r2-ch15j.py	instrument	IN-CHAT	2026-08/0d01b07f-63f3-49a7-9bc7-d310656689ee.json
r2-ch15k.py	instrument	IN-CHAT	2026-08/0d01b07f-63f3-49a7-9bc7-d310656689ee.json
r2-ch15l.py	instrument	IN-CHAT	2026-08/f8bb452d-da8f-45aa-a061-60e9a53498a5.json
r2-ch15m.py	instrument	IN-CHAT	2026-08/f8bb452d-da8f-45aa-a061-60e9a53498a5.json
r2-ch15n.py	instrument	IN-CHAT	2026-09/249f66b1-7661-4dd9-b807-965cfba3fbc6.json
r2-ch15o.py	instrument	IN-CHAT	2026-09/249f66b1-7661-4dd9-b807-965cfba3fbc6.json
r2-ch15p.py	instrument	IN-CHAT	2026-09/5abbd543-33fe-4e92-9fd1-42de6bca9f45.json
r2-ch15q.py	instrument	IN-CHAT	2026-09/5abbd543-33fe-4e92-9fd1-42de6bca9f45.json
r2-ch15r.py	instrument	IN-CHAT	2026-09/15546118-a6b0-4290-a583-08bca893bdfe.json
r2-ch15s.py	instrument	IN-CHAT	2026-09/15546118-a6b0-4290-a583-08bca893bdfe.json
r2-ch15t.py	instrument	IN-CHAT	2026-09/15546118-a6b0-4290-a583-08bca893bdfe.json
r2-ch15u.py	instrument	IN-CHAT	2026-09/15546118-a6b0-4290-a583-08bca893bdfe.json
r2-ch15v.py	instrument	IN-CHAT	2026-09/7a495fd1-93f1-4bfe-acdf-f0a8c13ebb46.json
r2-ch15w.py	instrument	IN-CHAT	2026-09/7a495fd1-93f1-4bfe-acdf-f0a8c13ebb46.json
r2-ch15x.py	instrument	IN-CHAT	2026-09/7a495fd1-93f1-4bfe-acdf-f0a8c13ebb46.json
r2-ch15y.py	instrument	IN-CHAT	2026-09/7a495fd1-93f1-4bfe-acdf-f0a8c13ebb46.json
r2-ch15z.py	instrument	IN-CHAT	2026-09/7a495fd1-93f1-4bfe-acdf-f0a8c13ebb46.json
r2-ch16a.py	instrument	HELD	
r2-ch16b.py	instrument	HELD	
r2-ch16c.py	instrument	HELD	
